10000,Human,Male,Dark,2,"Normal Beard Black / Stringy Hair"
10001,Human,Female,Dark,3,"Clown Eyes Blue / Clown Nose / Earring"
10002,Human,Male,Light,1,Frown
10003,Human,Female,Medium,2,"Spots / Choker"
10004,Human,Female,Albino,1,"Clown Nose"
10005,Human,Female,Albino,3,"Clown Nose / Dark Hair / Classic Shades"
10006,Human,Female,Albino,2,"Tiara / Mole"
10007,Human,Female,Light,1,Cigarette
10008,Human,Male,Light,2,"Chinstrap / Nerd Glasses"
10009,Human,Female,Albino,3,"Wild Hair / Mole / Spots"
10010,Human,Female,Light,3,"Silver Chain / Headband / Mole"
10011,Human,Female,Medium,1,"Rosy Cheeks"
10012,Human,Female,Medium,3,"Pipe / Pigtails / Clown Nose"
10013,Human,Female,Light,2,"Mole / VR"
10014,Human,Male,Light,3,"Wild Hair / VR / Mole"
10015,Human,Male,Albino,3,"3D Glasses / Mole / Mole"
10016,Human,Female,Dark,3,"Mole / Silver Chain / Blue Bandana"
10017,Human,Female,Albino,3,"Mohawk Thin / Vape / Clown Nose"
10018,Zombie,Male,,1,Mole
10019,Human,Male,Medium,1,Mole
10020,Human,Female,Medium,1,Mole
10021,Human,Male,Light,1,Mole
10022,Human,Male,Light,2,"Mole / Small Shades"
10023,Human,Male,Light,3,"Mole / Muttonchops / Vampire Hair"
10024,Human,Female,Albino,3,"Mole / VR / Dark Hair"
10025,Human,Female,Albino,2,"Clown Nose / Pilot Helmet"
10026,Human,Female,Medium,2,"Medical Mask / Choker"
10027,Human,Female,Medium,1,"Clown Nose"
10028,Human,Male,Dark,1,Smile
10029,Alien,Male,," 7"," Cigarette / Buck Teeth / Classic Shades / Earring / Top Hat / Big Beard / Mole"
10030,Human,Female,Light,1,"Big Shades"
10031,Human,Female,Albino,2,"Clown Nose / Vape"
10032,Human,Male,Medium,2,"Bandana / Spots"
10033,Human,Female,Medium,3,"Clown Nose / Crazy Hair / Silver Chain"
10034,Human,Female,Medium,3,"Dark Hair / Clown Nose / Cigarette"
10035,Human,Female,Dark,1,"Hot Lipstick"
10036,Human,Female,Medium,3,"Clown Nose / Cap / VR"
10037,Human,Female,Light,2,"Clown Nose / Big Shades"
10038,Human,Female,Light,3,"Mole / Gold Chain / Straight Hair"
10039,Human,Male,Medium,1,"Mohawk Dark"
10040,Human,Female,Light,3,"Cigarette / Clown Nose / Mohawk"
10041,Human,Female,Light,1,Pigtails
10042,Human,Female,Dark,3,"Clown Nose / Straight Hair Dark / Eye Patch"
